age,sex,education_level,education_years,potential_experience,field_of_study,annual_wage,weeks_worked,hours_worked,hourly_wage
63,Male,MA,18,39,Business,192772.92054045893,48,44,91.27505707408093
53,Male,BA,16,31,Education,140206.65688335116,43,37,88.12486290594039
39,Male,MA,18,15,Health,170359.98311515467,43,36,110.05166867904049
32,Female,BA,16,10,Humanities,125311.2088582471,44,43,66.2321399885027
45,Male,MA,18,21,Education,190361.7986124532,41,36,128.97140827401978
63,Male,MA,18,39,Health,212146.2006275166,46,36,128.10760907458732
43,Male,PhD,20,17,Social Sciences,272463.3575741383,44,47,131.75210714416747
47,Female,BA,16,25,Engineering,120488.43663295534,45,39,68.6543798478378
35,Male,BA,16,13,Business,162750.6484416249,43,47,80.52976172272385
35,Male,BA,16,13,Social Sciences,152750.55478400347,47,43,75.58166985848761
48,Male,BA,16,26,Health,113837.96016623967,47,39,62.10472458605547
60,Female,BA,16,38,Social Sciences,102001.09396901162,51,36,55.5561513992438
64,Male,Prof,19,39,Business,178727.4613143928,44,36,112.83299325403586
48,Female,BA,16,26,Engineering,157304.32238009502,51,36,85.67773550114109
27,Male,BA,16,5,Social Sciences,125621.14101696275,45,34,82.10532092611945
46,Male,MA,18,22,Business,161981.6546486795,42,30,128.55686876879327
26,Male,BA,16,4,Education,67744.28930686008,40,43,39.38621471329075
48,Male,MA,18,24,Engineering,183672.55870054083,48,47,81.41514126797023
54,Male,BA,16,32,Health,238277.13315229316,48,42,118.19302239697082
62,Male,BA,16,40,STEM (other),184224.9809654841,42,37,118.54889380018282
26,Male,BA,16,4,Business,101379.34917965338,43,37,63.72052116885819
45,Female,BA,16,23,Social Sciences,147207.48753502552,46,39,82.05545570514244
57,Female,Prof,19,32,Engineering,370725.8428274464,41,46,196.56725494562377
36,Male,BA,16,14,Health,108841.555239133,51,35,60.97566119839384
46,Female,BA,16,24,Health,240158.04040199885,42,44,129.9556495681812
49,Female,BA,16,27,Social Sciences,168678.3438768454,45,44,85.19108276608354
51,Female,BA,16,29,Social Sciences,152859.45530125478,50,45,67.93753568944658
52,Male,Prof,19,27,Humanities,366909.3703922975,47,37,210.98871212898075
40,Female,BA,16,18,Business,113426.2531862405,40,48,59.07617353450026
39,Male,MA,18,15,Engineering,170910.32318895304,43,49,81.1154832410788
27,Male,PhD,20,1,Humanities,70945.73927270104,40,44,40.3100791322165
61,Male,BA,16,39,Health,222601.53001013419,41,32,169.66580031260227
31,Male,Prof,19,6,Humanities,188180.46095401325,47,35,114.39541699332112
45,Male,BA,16,23,Health,263966.3295526756,45,37,158.53833606767304
33,Male,BA,16,11,Humanities,149430.19294539018,48,45,69.18064488212508
63,Female,BA,16,41,Social Sciences,147578.25547434084,41,44,81.80612831171887
42,Male,MA,18,18,Education,134057.9846698659,42,42,75.99658994890356
28,Male,PhD,20,2,STEM (other),87225.24442195869,48,49,37.08556310457427
49,Male,BA,16,27,Health,306619.25972518965,48,44,145.17957373351783
38,Male,MA,18,14,Business,193511.73264624516,45,47,91.49490905259819
33,Female,BA,16,11,Business,114669.90958352103,42,42,65.00561767773301
50,Female,BA,16,28,Business,262502.81025663984,44,37,161.24251244265346
26,Male,BA,16,4,Business,79903.15716846344,41,43,45.322267253807965
44,Male,PhD,20,18,Business,242216.34909190322,46,40,131.63932015864305
52,Female,MA,18,28,Health,186803.26061047713,49,35,108.92318402943273
31,Male,BA,16,9,Health,144784.70747038219,50,30,96.52313831358812
32,Female,BA,16,10,Social Sciences,114797.83895356955,47,31,78.7905552186476
59,Male,BA,16,37,Health,109460.78460866834,45,42,57.91575905220547
38,Male,BA,16,16,Engineering,169239.9673310994,47,30,120.0283456248932
41,Male,BA,16,19,Engineering,239919.6231194971,41,33,177.3241856019934
60,Male,Prof,19,35,Business,225536.00176550998,42,31,173.22273561099078
64,Male,BA,16,42,Social Sciences,195660.1562277839,46,49,86.80574810460688
28,Female,BA,16,6,Business,83678.81802826692,49,45,37.9495773370825
26,Female,BA,16,4,Business,106140.79665131758,51,32,65.03725285007205
30,Female,Prof,19,5,Social Sciences,105624.63018787096,40,46,57.40469031949509
28,Female,MA,18,4,Humanities,122332.03827827268,46,34,78.21741577894673
53,Male,BA,16,31,Engineering,199356.00368890725,45,37,119.73333554889324
42,Female,MA,18,18,Health,213762.76469792283,47,41,110.93033974983022
50,Male,BA,16,28,Education,199968.09900789073,46,41,106.02762407629413
58,Female,BA,16,36,Humanities,171079.83066434215,43,30,132.62002377080788
34,Male,BA,16,12,STEM (other),155676.51792387315,42,30,123.55279200307393
60,Female,BA,16,38,Engineering,144948.86766905055,42,44,78.43553445294944
38,Female,BA,16,16,Business,149576.637637089,43,46,75.62014036253235
55,Male,Prof,19,30,Humanities,150252.558328199,48,31,100.97618167217675
39,Male,MA,18,15,Social Sciences,140334.0334570025,48,46,63.55708037001924
32,Male,MA,18,8,Health,121690.93074271941,41,49,60.57288737815799
38,Male,BA,16,16,Education,91347.14679665945,44,38,54.63346100278675
47,Female,BA,16,25,Education,78260.5108434571,40,41,47.71982368503482
64,Female,MA,18,40,STEM (other),176232.0877110603,43,33,124.19456498312918
45,Male,BA,16,23,STEM (other),187327.5252225979,41,42,108.78485785284431
40,Male,BA,16,18,Education,85062.95312726714,47,33,54.843941410230265
42,Female,BA,16,20,Business,161895.22908384248,43,36,104.58348132031168
48,Male,MA,18,24,Humanities,274987.3917163026,44,43,145.34217321157644
50,Male,BA,16,28,Engineering,264743.5674770523,50,38,139.33871972476436
49,Female,BA,16,27,Business,286548.3187462425,43,30,222.13047964825
53,Female,MA,18,29,Humanities,182177.79104099763,44,30,138.01347806136184
39,Male,BA,16,17,Business,216826.53758595785,44,49,100.5688949842105
25,Male,BA,16,3,Business,83067.64716084619,44,33,57.209123389012525
49,Female,BA,16,27,Engineering,159420.0656669431,50,30,106.28004377796206
31,Female,BA,16,9,Humanities,43030.21998395489,42,39,26.269975570180033
33,Female,MA,18,9,Social Sciences,190468.792686891,46,31,133.56857832180296
48,Male,BA,16,26,Education,225595.12604133715,42,44,122.07528465440322
25,Female,BA,16,3,Business,87434.64040227338,41,32,66.64225640417177
32,Female,Prof,19,7,Humanities,108490.13086769624,42,38,67.97627247349388
48,Female,Prof,19,23,Humanities,132778.99932317607,50,46,57.72999970572873
35,Female,Prof,19,10,Business,184387.7332604658,42,42,104.52819345831394
41,Male,BA,16,19,Social Sciences,200963.73815784333,47,32,133.6195067538852
32,Female,BA,16,10,Business,76662.5351038778,43,33,54.02574707813799
59,Male,PhD,20,33,STEM (other),293440.9070662391,42,33,211.71782616611767
